Age,last_mod,tot_bath,Overall Qual,Overall Cond,Lot Area,Mas Vnr Area,Garage Area,Kitchen Qual,total_SF,Screen Porch,TotRms AbvGrd,Exter Qual,SalePrice,age*mod,overall**,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl
34,5,2.5,6,8,13517,289.0,475.0,4,2204.0,0,6,4,130500,170,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,12,3.5,7,5,11492,132.0,559.0,4,3035.0,0,8,4,220000,156,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
57,3,2.0,5,7,7922,0.0,246.0,4,2114.0,0,5,3,109000,171,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,3,2.5,5,5,9802,0.0,400.0,3,1828.0,0,7,3,174000,12,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
110,17,2.0,6,8,14235,0.0,484.0,3,2121.0,0,6,3,138500,1870,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,8,2.5,6,6,16492,0.0,578.0,4,3405.0,0,6,4,190000,352,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3.0,6,5,3675,82.0,525.0,3,1619.0,0,5,3,140000,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
51,51,2.0,5,5,12160,180.0,531.0,3,2376.0,0,6,3,142000,2601,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,55,1.0,5,5,15783,0.0,420.0,3,1848.0,0,6,3,112500,3025,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,38,2.5,5,5,11606,192.0,504.0,2,3120.0,0,9,3,135000,1444,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,37,1.5,6,5,1680,232.0,264.0,3,1470.0,0,4,3,85400,1369,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,2.0,7,5,7488,0.0,632.0,4,2416.0,0,6,4,183600,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
